"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-15","Channel-14","Channel-13","Channel-12","Channel-11","Channel-10","Channel-9","Channel-8","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
1074229,439,500000,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1074231,441,500000,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1
1074234,444,500000,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1074237,447,500000,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
1074239,449,500000,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1
1074242,452,500000,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1
1074245,455,500000,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1
1074247,457,500000,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1
1074250,460,500000,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1
1074253,463,500000,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1
1074255,465,500000,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
1074258,468,500000,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1
1074261,471,500000,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
1074263,473,500000,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1
1074266,476,500000,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
1074269,479,500000,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
1074271,481,500000,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1074274,484,500000,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1
1074277,487,500000,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
1074279,489,500000,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
1074282,492,500000,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1
1074285,495,500000,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1
1074287,497,500000,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1074290,500,500000,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1074293,503,500000,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
1074295,505,500000,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1
1074298,508,500000,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
1074301,511,500000,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1
1074303,513,500000,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
1074306,516,500000,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1
1074309,519,500000,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1074311,521,500000,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1
1074314,524,500000,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1
1074317,527,500000,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1
1074319,529,500000,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1
1074322,532,500000,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
1074325,535,500000,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1
1074327,537,500000,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1
1074330,540,500000,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
1074333,543,500000,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1
1074335,545,500000,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1
1074338,548,500000,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1
1074341,551,500000,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1
1074343,553,500000,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1
1074346,556,500000,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1
1074349,559,500000,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
1074351,561,500000,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
1074354,564,500000,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1
1074357,567,500000,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1
1074359,569,500000,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
1074362,572,500000,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1
1074365,575,500000,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1
1074367,577,500000,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
1074370,580,500000,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1
1074373,583,500000,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
1074375,585,500000,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
1074378,588,500000,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
1074381,591,500000,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1
1074383,593,500000,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
1074386,596,500000,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
1074389,599,500000,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1
1074391,601,500000,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1
1074394,604,500000,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
1074397,607,500000,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1
1074399,609,500000,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1
1074402,612,500000,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1
1074405,615,500000,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1074407,617,500000,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1
1074410,620,500000,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1
1074413,623,500000,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1
1074415,625,500000,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1
1074418,628,500000,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1
1074421,631,500000,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1
1074423,633,500000,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1
1074426,636,500000,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
1074429,639,500000,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1
1074431,641,500000,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1
1074434,644,500000,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1
1074437,647,500000,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1
1074439,649,500000,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
1074442,652,500000,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1
1074445,655,500000,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1
1074447,657,500000,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
1074450,660,500000,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
1074453,663,500000,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
1074455,665,500000,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1
1074458,668,500000,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1
1074461,671,500000,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1
